accessLevel,description,format,frequency,identifier,modified,title,webService,accessURL,created,feed,keyword,releaseDate,theme,distribution/0/accessURL,distribution/0/formats/0/label,distribution/0/formats/0/value,distribution/1/accessURL,distribution/1/formats/0/label,distribution/1/formats/0/value,distribution/2/accessURL,distribution/2/formats/0/label,distribution/2/formats/0/value,distribution/3/accessURL,distribution/3/formats/0/label,distribution/3/formats/0/value,distribution/4/accessURL,distribution/4/formats/0/label,distribution/4/formats/0/value,distribution/5/accessURL,distribution/5/formats/0/label,distribution/5/formats/0/value,keywords/0,keywords/1,keywords/2,keywords/3,keywords/4,keywords/5,keywords/6,keywords/7,keywords/8,keywords/9,keywords/10,keywords/11,keywords/12,keywords/13,keywords/14,keywords/15,keywords/16,keywords/17,keywords/18,keywords/19,keywords/20,keywords/21,keywords/22,keywords/23,keywords/24,keywords/25,keywords/26,keywords/27,keywords/28,keywords/29,keywords/30,keywords/31,keywords/32,keywords/33,keywords/34,keywords/35,keywords/36,keywords/37,keywords/38,keywords/39,keywords/40,keywords/41,keywords/42,keywords/43,keywords/44,keywords/45,keywords/46,keywords/47,keywords/48,keywords/49,keywords/50,keywords/51,keywords/52,keywords/53,keywords/54,keywords/55,keywords/56,keywords/57,keywords/58,keywords/59,keywords/60,keywords/61,keywords/62,keywords/63,keywords/64,keywords/65,keywords/66,keywords/67,keywords/68,keywords/69,keywords/70,keywords/71,keywords/72,keywords/73,keywords/74,keywords/75,keywords/76,keywords/77,keywords/78,keywords/79,keywords/80,keywords/81,keywords/82,keywords/83,keywords/84
Public,"NYCDOT's Traffic Management Center (TMC) maintains a map of traffic speed detectors throughout the City. The speed detector themselves belong to various city and state agencies. The Traffic Speeds Map is available on the DOT's website (http://nyctmc.org/ ). This data feed contains 'real-time' traffic information from locations where NYCDOT picks up sensor feeds within the five boroughs, mostly on major arterials and highways. NYCDOT uses this information for emergency response and management.",text/plain,,xsat-x5sa,2014-02-12,Real-Time Traffic Speed Data,,http://207.251.86.229/nyc-links-cams/LinkSpeedQuery.txt,2011-10-10,,"vehicles,car,bus,automobile,truck,clean web",2011-10-10,Transportation,http://207.251.86.229/nyc-links-cams/LinkSpeedQuery.txt,txt,text/plain,,,,,,,,,,,,,,,,vehicles,car,bus,automobile,truck,clean web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Facilities in New York City that offer ""Out of School Time" after-school programs.  Managed by the Department of Youth and Community Development (DYCD).
Update Frequency: Annually",text/csv,,uvks-tn5n,2013-03-19,DYCD  after-school programs: Out Of School Time,https://data.cityofnewyork.us/resource/uvks-tn5n,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.csv?accessType=DOWNLOAD,2011-08-31,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.rss,"jobs and economic mobility,education,services,youth,community,development,school,child,children,time,lifelong learning",2011-08-31,Education,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/uvks-tn5n/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,jobs and economic mobility,education,services,youth,community,development,school,child,children,time,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Facilities in New York City, by agency and site, that offer “Neighborhood Development Area (NDA) Educational High School Programs” after-school  programs for children in High",text/csv,,ut9y-2ptp,2013-03-19,DYCD after-school programs: NDA Educational High School Progams,https://data.cityofnewyork.us/resource/ut9y-2ptp,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.csv?accessType=DOWNLOAD,2011-09-01,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.rss,"jobs and economic mobility,education,services,youth,community,development,community development,school,child,children,after-school,nda,neighborhood development area,neighborhood,high school,lifelong learning",2011-09-01,Education,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/ut9y-2ptp/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,jobs and economic mobility,education,services,youth,community,development,community development,school,child,children,after-school,nda,neighborhood development area,neighborhood,high school,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"A database of facilities in New York City, by agency and site, that offer NDA (Neighborhood Development Area) after-school “Family Support Programs,” including immigrant services, legal assistance, domestic violence, health, housing and literacy programs for adults, seniors, young adults and children of all ages",text/csv,,chv4-k4fa,2013-03-19,DYCD after-school programs: Neighborhood Development Area (NDA) Family Support,https://data.cityofnewyork.us/resource/chv4-k4fa,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.csv?accessType=DOWNLOAD,2011-09-06,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.rss,"jobs and economic mobility,education,services,youth,community,development,community development,school,child,children,after-school,after-school programs,programs,employment,internships,job,jobs,internship,young adult,youth employment,nda,neighborhood,neighborhood development area,reading,writing,family,family literacy,immigration,immigrants,adolescent literacy,family support,senior,domestic violence,high-school,high school,healthstat,health stat,housing,legal assistance,middle school,refugee,lifelong learning",2011-09-06,Education,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/chv4-k4fa/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,jobs and economic mobility,education,services,youth,community,development,community development,school,child,children,after-school,after-school programs,programs,employment,internships,job,jobs,internship,young adult,youth employment,nda,neighborhood,neighborhood development area,reading,writing,family,family literacy,immigration,immigrants,adolescent literacy,family support,senior,domestic violence,high-school,high school,healthstat,health stat,housing,legal assistance,middle school,refugee,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Location of green markets in the city with basic descriptive information.,text/csv,,26dn-w9sw,2013-09-22,Green Market Locations,https://data.cityofnewyork.us/resource/26dn-w9sw,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.csv?accessType=DOWNLOAD,2011-10-08,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.rss,"doitt gis,geographic,location,map,cartography,business,green,market,grocer,food,sale,sell",2011-10-08,Environment,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/26dn-w9sw/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,doitt gis,geographic,location,map,cartography,business,green,market,grocer,food,sale,sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually",text/csv,,ikqj-pyhc,2013-06-22,DOF: Condominium comparable rental income – Manhattan - FY 2010/2011,https://data.cityofnewyork.us/resource/ikqj-pyhc,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.csv?accessType=DOWNLOAD,2011-09-27,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.rss,"department of finance,finance,dof,rental property,condominiums,cooperatives,residential,apartment,buildings,rental properties,manhattan,borough",2011-09-27,Housing & Development,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/ikqj-pyhc/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,department of finance,finance,dof,rental property,condominiums,cooperatives,residential,apartment,buildings,rental properties,manhattan,borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Location of wifi hotspots in the city with basic descriptive information.,application/zip; charset=binary,,ehc4-fktp,2014-02-12,Wifi Hotspot Locations,,https://data.cityofnewyork.us/api/file_data/TyCW3vgcvzvO5JBrIhQNVdgX3xQPFIu8nuOOolvQBIc?filename=DOITT_WIFI_HOTSPOT_01.zip,2013-04-10,,"wifi,wireless,map,cartography,doitt gis,hot spot,geographic,services,location,access,telecommunication",2013-04-10,Recreation,https://data.cityofnewyork.us/api/file_data/TyCW3vgcvzvO5JBrIhQNVdgX3xQPFIu8nuOOolvQBIc?filename=DOITT_WIFI_HOTSPOT_01.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,wifi,wireless,map,cartography,doitt gis,hot spot,geographic,services,location,access,telecommunication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Permits issued by the Department of Buildings. This data is replaced on a daily basis.,text/csv,,tj4w-skrs,2014-02-17,Building Permits,https://data.cityofnewyork.us/resource/tj4w-skrs,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.csv?accessType=DOWNLOAD,2012-03-27,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.rss,"building,buildings,permit,permits,dob,building permits,clean web",2012-03-27,Housing & Development,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/tj4w-skrs/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,building,buildings,permit,permits,dob,building permits,clean web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Selected demographic, social, economic, and housing estimates data by community district/PUMA (Public Use Micro Data Sample Area). Three year estimates of population data from the Census Bureau's American Community Survey",application/vnd.ms-excel,,kvuc-fg9b,2013-06-26,"Demographic, Social, Economic, and Housing Profiles by Community District/PUMA",,http://nyc.gov/html/dcp/download/biggapps/DCP_acs_cd_puma_001.xls,2011-08-09,,"jobs and economic mobility,dcp,public use micro data sample area,census,demographics,population",2011-08-09,City Government,http://nyc.gov/html/dcp/download/biggapps/DCP_acs_cd_puma_001.xls,xls,application/vnd.ms-excel,,,,,,,,,,,,,,,,jobs and economic mobility,dcp,public use micro data sample area,census,demographics,population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
